date,retail_and_recreation_percent_change_from_baseline_Chile,grocery_and_pharmacy_percent_change_from_baseline_Chile,parks_percent_change_from_baseline_Chile,transit_stations_percent_change_from_baseline_Chile,workplaces_percent_change_from_baseline_Chile,residential_percent_change_from_baseline_Chile
2020-08-15,-50.921875,-28.126984126984127,-56.128571428571426,-55.15625,-32.17910447761194,19.666666666666668
2020-08-16,-53.483870967741936,-34.09836065573771,-59.7887323943662,-60.435483870967744,-15.924242424242424,17.102040816326532
2020-08-17,-43.46666666666667,-29.652173913043477,-49.76923076923077,-48.975,-31.264150943396228,17.31578947368421
2020-08-18,-45.24444444444445,-30.73913043478261,-50.627450980392155,-47.526315789473685,-31.115384615384617,17.12280701754386
2020-08-19,-45.46666666666667,-30.304347826086957,-49.75,-47.026315789473685,-30.884615384615383,17.403508771929825
2020-08-20,-46.51111111111111,-29.80851063829787,-49.57692307692308,-48.41025641025641,-31.18867924528302,18.107142857142858
2020-08-21,-45.28888888888889,-28.659574468085108,-47.925925925925924,-47.725,-29.28301886792453,19.403508771929825
2020-08-22,-53.208333333333336,-36.05882352941177,-58.018181818181816,-52.891891891891895,-23.53061224489796,18.26923076923077
2020-08-23,-60.07142857142857,-43.44444444444444,-66.41071428571429,-60.891891891891895,-21.45,18.25531914893617
2020-08-24,-46.787234042553195,-32.583333333333336,-53.056603773584904,-49.8,-30.79245283018868,17.42105263157895
2020-08-25,-48.61702127659574,-33.638297872340424,-54.13725490196079,-49.31578947368421,-32.35849056603774,17.842105263157894
2020-08-26,-47.46808510638298,-30.47826086956522,-52.333333333333336,-47.1578947368421,-29.90566037735849,17.57894736842105
2020-08-27,-46.53191489361702,-28.625,-51.283018867924525,-48.69230769230769,-29.685185185185187,17.92982456140351
2020-08-28,-45.48936170212766,-27.583333333333332,-51.05555555555556,-48.925,-29.09433962264151,19.649122807017545
2020-08-29,-51.895833333333336,-31.104166666666668,-57.472727272727276,-52.21621621621622,-22.755102040816325,17.884615384615383
2020-08-30,-56.73170731707317,-37.04347826086956,-61.15094339622642,-56.86486486486486,-18.789473684210527,17.285714285714285
2020-08-31,-43.34782608695652,-28.51063829787234,-45.8235294117647,-48.075,-29.358490566037737,16.105263157894736
2020-09-01,-44.108695652173914,-26.565217391304348,-47.11764705882353,-46.18421052631579,-30.903846153846153,16.087719298245613
2020-09-02,-47.4468085106383,-30.195652173913043,-49.94230769230769,-49.10526315789474,-30.537037037037038,17.339285714285715
2020-09-03,-47.659574468085104,-30.729166666666668,-50.58490566037736,-48.69230769230769,-31.074074074074073,18.125
2020-09-04,-46.234042553191486,-28.458333333333332,-48.907407407407405,-47.575,-29.452830188679247,19.571428571428573
2020-09-05,-50.833333333333336,-28.895833333333332,-55.85454545454545,-51.37837837837838,-22.375,17.74
2020-09-06,-56.951219512195124,-38.47826086956522,-58.888888888888886,-56.24324324324324,-19.829268292682926,17.510204081632654
2020-09-07,-44.608695652173914,-29.020833333333332,-46.705882352941174,-47.625,-30.39622641509434,17.107142857142858
2020-09-08,-46.56521739130435,-30.82608695652174,-51.1764705882353,-47.36842105263158,-31.660377358490567,17.482142857142858
2020-09-09,-45.787234042553195,-29.066666666666666,-47.11764705882353,-45.60526315789474,-29.245283018867923,17.125
2020-09-10,-46.234042553191486,-28.065217391304348,-48.17307692307692,-46.333333333333336,-30.87037037037037,18.303571428571427
2020-09-11,-42.815384615384616,-25.3,-45.54929577464789,-47.90625,-27.797101449275363,19.982142857142858
2020-09-12,-49.646153846153844,-31.822580645161292,-54.19718309859155,-53.8125,-22.432835820895523,18.72
2020-09-13,-54.698412698412696,-37.26229508196721,-57.267605633802816,-61.08196721311475,-20.363636363636363,18.229166666666668
2020-09-14,-39.265625,-22.866666666666667,-42.15492957746479,-44.714285714285715,-26.681159420289855,17.053571428571427
2020-09-15,-38.095238095238095,-16.866666666666667,-42.11267605633803,-42.04761904761905,-26.485294117647058,16.535714285714285
2020-09-16,-38.078125,-11.05,-41.32394366197183,-39.46031746031746,-27.26086956521739,16.071428571428573
2020-09-17,-40.27272727272727,-9.133333333333333,-40.95774647887324,-43.765625,-32.10294117647059,17.357142857142858
2020-09-18,-81.55555555555556,-79.65573770491804,-66.98591549295774,-77.40322580645162,-69.78260869565217,33.265306122448976
2020-09-19,-81.37096774193549,-80.12903225806451,-67.87323943661971,-76.67213114754098,-54.134328358208954,24.347826086956523
2020-09-20,-66.04761904761905,-52.59016393442623,-63.12676056338028,-66.51666666666667,-26.651515151515152,19.5
2020-09-21,-44.53125,-28.885245901639344,-46.95774647887324,-47.77777777777778,-29.08823529411765,18.357142857142858
2020-09-22,-46.0,-29.116666666666667,-48.80281690140845,-45.95238095238095,-28.61764705882353,18.714285714285715
2020-09-23,-48.57142857142857,-30.05,-50.84507042253521,-46.24193548387097,-27.455882352941178,19.721311475409838
