date,retail_and_recreation_percent_change_from_baseline_Bolivia,grocery_and_pharmacy_percent_change_from_baseline_Bolivia,parks_percent_change_from_baseline_Bolivia,transit_stations_percent_change_from_baseline_Bolivia,workplaces_percent_change_from_baseline_Bolivia,residential_percent_change_from_baseline_Bolivia
2020-10-28,-21.464285714285715,-4.92,-20.2,-31.0625,-8.4,10.04
2020-10-29,-23.93103448275862,-5.24,-25.355555555555554,-29.181818181818183,-13.6,11.12
2020-10-30,-23.6,-2.1538461538461537,-22.891304347826086,-28.916666666666668,-10.044444444444444,10.0
2020-10-31,-25.1,-1.3703703703703705,-13.377777777777778,-30.114285714285714,-11.547619047619047,8.25
2020-11-01,-30.066666666666666,-14.52,-14.41304347826087,-41.285714285714285,-10.975609756097562,8.347826086956522
2020-11-02,-37.607142857142854,-28.0,-16.931818181818183,-44.18181818181818,-53.808510638297875,17.333333333333332
2020-11-03,-22.379310344827587,-8.62962962962963,-20.869565217391305,-31.09090909090909,-16.217391304347824,9.125
2020-11-04,-22.035714285714285,-5.4,-21.75,-28.636363636363637,-9.91304347826087,9.96
2020-11-05,-25.379310344827587,-3.0384615384615383,-23.42222222222222,-31.757575757575758,-12.977777777777778,10.0
2020-11-06,-30.766666666666666,-11.592592592592593,-27.104166666666668,-40.78378378378378,-15.71111111111111,14.291666666666666
2020-11-07,-32.645161290322584,-9.555555555555555,-28.404255319148938,-38.142857142857146,-8.804878048780488,9.583333333333334
2020-11-08,-34.7,-18.307692307692307,-27.595744680851062,-42.55882352941177,-8.475,10.478260869565217
2020-11-09,-23.5,-4.0,-22.68888888888889,-31.352941176470587,-10.456521739130435,10.541666666666666
2020-11-10,-22.166666666666668,-2.185185185185185,-22.108695652173914,-31.060606060606062,-16.31111111111111,10.4
2020-11-11,-20.142857142857142,-0.88,-18.555555555555557,-23.235294117647058,-7.266666666666667,9.28
2020-11-12,-22.03448275862069,-2.1923076923076925,-22.666666666666668,-29.91176470588235,-10.8,9.916666666666666
2020-11-13,-21.322580645161292,-1.0,-20.914893617021278,-32.078947368421055,-6.777777777777778,9.2
2020-11-14,-26.741935483870968,-5.481481481481482,-22.543478260869566,-34.19444444444444,-6.9523809523809526,7.125
2020-11-15,-28.333333333333332,-13.923076923076923,-22.76595744680851,-36.583333333333336,-7.65,8.26086956521739
2020-11-16,-22.178571428571427,-4.153846153846154,-21.23913043478261,-30.558823529411764,-10.155555555555555,9.583333333333334
2020-11-17,-20.0,-4.074074074074074,-20.02173913043478,-32.5625,-10.444444444444445,8.84
2020-11-18,-23.071428571428573,-7.08,-22.288888888888888,-30.484848484848484,-11.545454545454545,10.64
2020-11-19,-21.20689655172414,-1.7307692307692308,-21.355555555555554,-27.939393939393938,-9.444444444444445,9.92
