date,retail_and_recreation_percent_change_from_baseline_Barbados,grocery_and_pharmacy_percent_change_from_baseline_Barbados,parks_percent_change_from_baseline_Barbados,transit_stations_percent_change_from_baseline_Barbados,workplaces_percent_change_from_baseline_Barbados,residential_percent_change_from_baseline_Barbados
2020-09-16,-11.666666666666666,-15.0,9.666666666666666,-30.0,-26.5,8.666666666666666
2020-09-17,-12.333333333333334,-17.666666666666668,0.6666666666666666,-34.0,-27.444444444444443,9.333333333333334
2020-09-18,-15.5,-17.0,2.3333333333333335,-38.333333333333336,-23.875,9.666666666666666
2020-09-19,-15.0,-15.666666666666666,-1.6666666666666667,-36.666666666666664,-19.5,7.0
2020-09-20,-7.666666666666667,-14.333333333333334,-0.3333333333333333,-45.0,-17.5,4.0
2020-09-21,-19.666666666666668,-20.0,7.0,-36.0,-27.75,9.666666666666666
2020-09-22,-19.0,-17.666666666666668,19.0,-33.333333333333336,-25.25,8.333333333333334
2020-09-23,-20.0,-16.0,33.0,-34.666666666666664,-25.0,8.0
2020-09-24,-19.333333333333332,-17.0,19.333333333333332,-37.0,-25.375,9.0
2020-09-25,-19.0,-13.0,21.0,-36.666666666666664,-22.875,8.333333333333334
2020-09-26,-8.666666666666666,-6.333333333333333,36.0,-34.666666666666664,-15.833333333333334,5.0
2020-09-27,-16.666666666666668,-12.666666666666666,37.333333333333336,-47.0,-21.5,5.5
2020-09-28,-24.666666666666668,-21.333333333333332,11.333333333333334,-39.0,-24.625,10.0
2020-09-29,-20.0,-14.0,10.666666666666666,-34.333333333333336,-23.375,9.666666666666666
2020-09-30,-16.333333333333332,-9.333333333333334,12.666666666666666,-34.666666666666664,-24.5,7.333333333333333
2020-10-01,-26.666666666666668,-20.0,-10.333333333333334,-44.666666666666664,-32.666666666666664,14.333333333333334
2020-10-02,-26.0,-20.0,2.0,-37.0,-20.125,9.0
2020-10-03,-17.75,-12.0,4.666666666666667,-38.666666666666664,-19.5,6.333333333333333
2020-10-04,-17.333333333333332,-16.0,6.666666666666667,-47.333333333333336,-19.25,4.5
2020-10-05,-25.333333333333332,-22.333333333333332,3.3333333333333335,-40.0,-24.125,8.0
2020-10-06,-34.333333333333336,-28.333333333333332,-10.333333333333334,-37.666666666666664,-26.125,11.666666666666666
2020-10-07,-18.666666666666668,-14.333333333333334,31.666666666666668,-35.0,-22.375,6.0
2020-10-08,-18.666666666666668,-17.333333333333332,34.333333333333336,-33.666666666666664,-23.5,8.0
2020-10-09,-25.0,-22.666666666666668,28.333333333333332,-39.0,-19.5,9.0
2020-10-10,-17.666666666666668,-15.666666666666666,33.666666666666664,-35.333333333333336,-15.4,6.0
2020-10-11,-22.333333333333332,-23.0,31.666666666666668,-44.666666666666664,-24.0,5.5
2020-10-12,-26.333333333333332,-24.333333333333332,31.666666666666668,-38.0,-23.125,8.666666666666666
2020-10-13,-22.666666666666668,-19.0,30.333333333333332,-33.0,-19.125,8.666666666666666
2020-10-14,-28.666666666666668,-24.333333333333332,19.0,-40.0,-23.0,10.333333333333334
2020-10-15,-19.0,-12.666666666666666,22.333333333333332,-30.333333333333332,-21.5,8.666666666666666
2020-10-16,-21.0,-16.0,23.0,-36.0,-18.125,9.333333333333334
2020-10-17,-18.333333333333332,-11.666666666666666,31.0,-35.0,-18.5,6.666666666666667
2020-10-18,-20.0,-16.333333333333332,25.333333333333332,-48.666666666666664,-21.75,6.0
2020-10-19,-28.0,-22.333333333333332,20.666666666666668,-39.0,-21.25,10.0
2020-10-20,-21.0,-19.0,25.333333333333332,-34.0,-18.375,8.666666666666666
2020-10-21,-16.666666666666668,-14.0,33.333333333333336,-36.0,-19.0,7.0
2020-10-22,-17.333333333333332,-15.0,25.0,-35.666666666666664,-20.125,8.0
2020-10-23,-15.25,-11.333333333333334,29.0,-39.666666666666664,-20.25,9.333333333333334
2020-10-24,-12.0,-8.0,40.333333333333336,-38.333333333333336,-14.8,4.666666666666667
2020-10-25,-14.0,-11.333333333333334,36.666666666666664,-48.666666666666664,-17.75,4.0
2020-10-26,-22.0,-18.333333333333332,19.666666666666668,-40.0,-20.625,9.0
2020-10-27,-15.666666666666666,-8.666666666666666,20.666666666666668,-34.333333333333336,-17.0,7.666666666666667
2020-10-28,-27.666666666666668,-21.0,1.3333333333333333,-43.333333333333336,-22.375,11.0
2020-10-29,-32.666666666666664,-26.333333333333332,-13.666666666666666,-44.666666666666664,-24.666666666666668,13.333333333333334
2020-10-30,-22.0,-14.333333333333334,8.333333333333334,-42.0,-17.375,9.0
2020-10-31,-17.0,-11.0,16.333333333333332,-39.0,-18.5,6.666666666666667
2020-11-01,-25.666666666666668,-20.333333333333332,12.666666666666666,-54.666666666666664,-22.5,5.5
2020-11-02,-22.0,-19.0,27.333333333333332,-35.333333333333336,-18.25,7.666666666666667
