date,retail_and_recreation_percent_change_from_baseline_Dominican Republic,grocery_and_pharmacy_percent_change_from_baseline_Dominican Republic,parks_percent_change_from_baseline_Dominican Republic,transit_stations_percent_change_from_baseline_Dominican Republic,workplaces_percent_change_from_baseline_Dominican Republic,residential_percent_change_from_baseline_Dominican Republic
2020-09-02,-34.6,-18.0,-26.5,-46.75,-34.583333333333336,12.384615384615385
2020-09-03,-35.6,-20.0,-31.0,-47.5,-35.5,13.615384615384615
2020-09-04,-37.2,-17.25,-32.75,-42.8,-35.083333333333336,14.076923076923077
2020-09-05,-40.4,-19.5,-33.2,-49.0,-28.77777777777778,12.5
2020-09-06,-44.4,-20.0,-32.0,-59.0,-28.166666666666668,11.1
2020-09-07,-30.4,-12.25,-23.25,-46.5,-33.25,10.846153846153847
2020-09-08,-30.6,-13.0,-22.5,-44.25,-33.75,11.307692307692308
2020-09-09,-35.2,-17.0,-25.25,-50.25,-34.083333333333336,12.0
2020-09-10,-34.2,-18.0,-23.75,-46.5,-34.666666666666664,12.538461538461538
2020-09-11,-24.772727272727273,-14.952380952380953,-27.08,-40.84615384615385,-33.733333333333334,12.076923076923077
2020-09-12,-31.0,-18.217391304347824,-31.44,-47.61538461538461,-24.8,11.333333333333334
2020-09-13,-36.54545454545455,-17.529411764705884,-29.0,-53.53846153846154,-23.607142857142858,9.9
2020-09-14,-21.85,-13.5,-25.52,-39.666666666666664,-31.0,11.0
2020-09-15,-22.55,-12.95,-26.958333333333332,-38.25,-31.225806451612904,11.846153846153847
2020-09-16,-23.5,-13.571428571428571,-24.73913043478261,-35.92307692307692,-32.45161290322581,12.076923076923077
2020-09-17,-25.45,-16.210526315789473,-28.0,-42.0,-34.03225806451613,12.846153846153847
2020-09-18,-23.59090909090909,-10.31578947368421,-27.04,-39.30769230769231,-31.866666666666667,12.461538461538462
2020-09-19,-30.043478260869566,-15.130434782608695,-31.8,-44.46153846153846,-23.966666666666665,11.916666666666666
2020-09-20,-35.208333333333336,-15.421052631578947,-29.307692307692307,-49.92307692307692,-23.071428571428573,10.2
