date,retail_and_recreation_percent_change_from_baseline_Uruguay,grocery_and_pharmacy_percent_change_from_baseline_Uruguay,parks_percent_change_from_baseline_Uruguay,transit_stations_percent_change_from_baseline_Uruguay,workplaces_percent_change_from_baseline_Uruguay,residential_percent_change_from_baseline_Uruguay
2020-09-26,-33.6,-10.11111111111111,-55.38095238095238,-44.666666666666664,-13.666666666666666,11.235294117647058
2020-09-27,-9.9375,10.923076923076923,-29.666666666666668,-23.571428571428573,-6.45,4.909090909090909
2020-09-28,-22.77777777777778,-9.5,-35.2,-32.2,-3.2857142857142856,7.2105263157894735
2020-09-29,-24.68421052631579,-7.631578947368421,-34.2,-28.428571428571427,14.714285714285714,3.35
2020-09-30,-21.68421052631579,-5.842105263157895,-33.95238095238095,-29.5,13.0,2.2
2020-10-01,-24.526315789473685,-3.263157894736842,-38.523809523809526,-31.0,10.380952380952381,1.85
2020-10-02,-20.263157894736842,8.2,-45.85,-28.6875,8.952380952380953,3.1578947368421053
2020-10-03,-23.944444444444443,3.4444444444444446,-46.38095238095238,-35.1875,-11.238095238095237,7.0
2020-10-04,-32.333333333333336,-10.714285714285714,-54.42857142857143,-47.4375,-22.5,10.272727272727273
2020-10-05,-16.055555555555557,3.2222222222222223,-39.0,-27.066666666666666,12.476190476190476,2.5
2020-10-06,-17.38888888888889,1.8333333333333333,-32.45,-25.846153846153847,14.19047619047619,1.1
2020-10-07,-11.555555555555555,7.055555555555555,-26.285714285714285,-24.066666666666666,16.333333333333332,0.7
2020-10-08,-17.61111111111111,1.894736842105263,-32.857142857142854,-23.466666666666665,14.476190476190476,2.35
2020-10-09,-14.61111111111111,6.2,-32.5,-25.9375,13.904761904761905,2.2
2020-10-10,-13.333333333333334,7.166666666666667,-22.095238095238095,-30.4375,-6.285714285714286,4.444444444444445
2020-10-11,-18.11764705882353,-4.3076923076923075,-24.857142857142858,-44.9375,-14.9,8.181818181818182
2020-10-12,-21.61111111111111,-9.368421052631579,-34.78947368421053,-40.2,-25.80952380952381,8.0
2020-10-13,-20.055555555555557,-3.111111111111111,-35.95238095238095,-24.785714285714285,15.666666666666666,3.15
2020-10-14,-15.166666666666666,1.1666666666666667,-28.761904761904763,-23.3125,17.142857142857142,2.6
2020-10-15,-18.789473684210527,-0.47368421052631576,-31.904761904761905,-24.933333333333334,13.714285714285714,3.1
2020-10-16,-16.42105263157895,3.85,-30.7,-26.4375,14.19047619047619,2.75
2020-10-17,-21.555555555555557,-2.611111111111111,-33.57142857142857,-35.75,-8.380952380952381,6.529411764705882
2020-10-18,-20.666666666666668,-10.76923076923077,-20.38095238095238,-41.9375,-16.8,7.0
2020-10-19,-21.22222222222222,-6.842105263157895,-38.10526315789474,-30.466666666666665,11.80952380952381,4.2105263157894735
2020-10-20,-32.21052631578947,-11.368421052631579,-54.285714285714285,-39.07142857142857,8.095238095238095,7.35
2020-10-21,-20.57894736842105,-2.8947368421052633,-42.857142857142854,-30.125,17.19047619047619,4.421052631578948
2020-10-22,-31.105263157894736,-10.0,-48.095238095238095,-37.6,9.333333333333334,6.894736842105263
2020-10-23,-20.789473684210527,0.45,-37.25,-31.058823529411764,12.952380952380953,4.631578947368421
2020-10-24,-21.833333333333332,-1.0,-29.238095238095237,-37.625,-6.809523809523809,6.882352941176471
