date,retail_and_recreation_percent_change_from_baseline_Guatemala,grocery_and_pharmacy_percent_change_from_baseline_Guatemala,parks_percent_change_from_baseline_Guatemala,transit_stations_percent_change_from_baseline_Guatemala,workplaces_percent_change_from_baseline_Guatemala,residential_percent_change_from_baseline_Guatemala
2021-11-21,27.272727272727273,26.35135135135135,6.595238095238095,1.8888888888888888,-1.9054054054054055,-2.6774193548387095
2021-11-22,19.613636363636363,26.743589743589745,-4.8133333333333335,-6.222222222222222,-2.7339449541284404,1.2745098039215685
2021-11-23,22.767441860465116,30.35135135135135,-3.4,-7.185185185185185,-3.3457943925233646,1.2549019607843137
2021-11-24,21.906976744186046,29.58974358974359,-2.230769230769231,-3.074074074074074,-3.2735849056603774,1.4230769230769231
2021-11-25,27.25581395348837,36.714285714285715,0.38961038961038963,3.8461538461538463,-4.598130841121495,0.7254901960784313
2021-11-26,24.767441860465116,33.0,0.7662337662337663,-5.0,-0.9029126213592233,0.0
2021-11-27,25.979591836734695,32.404761904761905,0.9651162790697675,10.533333333333333,7.8604651162790695,-2.75
2021-11-28,28.11111111111111,27.805555555555557,7.674698795180723,1.5925925925925926,2.888888888888889,-2.7096774193548385
2021-11-29,25.045454545454547,32.02564102564103,-1.8533333333333333,-2.4074074074074074,-0.7431192660550459,0.7254901960784313
2021-11-30,33.69767441860465,45.67567567567568,4.068493150684931,-4.37037037037037,-0.4074074074074074,-0.27450980392156865
2021-12-01,31.46511627906977,44.5,5.027027027027027,-0.4074074074074074,-1.5740740740740742,0.0392156862745098
2021-12-02,32.47727272727273,47.666666666666664,4.413333333333333,2.4074074074074074,-2.5514018691588785,0.23529411764705882
2021-12-03,27.86046511627907,40.86842105263158,4.558441558441558,-4.925925925925926,1.0,-0.1
2021-12-04,29.42,38.07142857142857,5.8875,10.266666666666667,7.744186046511628,-3.7560975609756095
2021-12-05,30.40909090909091,33.166666666666664,13.120481927710843,3.36,5.194444444444445,-3.625
2021-12-06,27.34090909090909,37.921052631578945,3.4246575342465753,-2.9285714285714284,-1.2844036697247707,0.27450980392156865
2021-12-07,31.813953488372093,42.16216216216216,8.684931506849315,1.9615384615384615,0.5925925925925926,0.0784313725490196
2021-12-08,30.045454545454547,39.743589743589745,4.584415584415584,-0.5185185185185185,0.6226415094339622,0.6538461538461539
2021-12-09,32.25,43.19444444444444,4.866666666666666,3.4814814814814814,2.5660377358490565,0.1568627450980392
2021-12-10,29.53488372093023,40.0,6.5256410256410255,-2.4285714285714284,6.366336633663367,-0.7843137254901961
2021-12-11,33.319148936170215,40.048780487804876,8.9125,11.928571428571429,15.626506024096386,-4.761904761904762
