date,retail_and_recreation_percent_change_from_baseline_Ecuador,grocery_and_pharmacy_percent_change_from_baseline_Ecuador,parks_percent_change_from_baseline_Ecuador,transit_stations_percent_change_from_baseline_Ecuador,workplaces_percent_change_from_baseline_Ecuador,residential_percent_change_from_baseline_Ecuador
2020-06-30,-29.80952380952381,-17.142857142857142,-29.907563025210084,-53.64912280701754,-36.11764705882353,21.533333333333335
2020-07-01,-29.6875,-15.607843137254902,-30.794871794871796,-52.36363636363637,-36.27536231884058,21.133333333333333
2020-07-02,-30.953846153846154,-16.26,-32.228813559322035,-53.50909090909091,-36.8768115942029,22.2
2020-07-03,-32.134328358208954,-15.294117647058824,-30.760330578512395,-54.05084745762712,-34.3235294117647,24.155555555555555
2020-07-04,-37.2112676056338,-19.90566037735849,-37.008,-53.19642857142857,-11.90990990990991,17.147058823529413
2020-07-05,-48.26027397260274,-40.61538461538461,-45.330708661417326,-67.50909090909092,-11.070707070707071,16.551724137931036
2020-07-06,-26.19047619047619,-13.04,-27.794642857142858,-52.293103448275865,-35.22222222222222,21.133333333333333
2020-07-07,-26.84375,-13.38,-28.07758620689655,-51.45454545454545,-36.21167883211679,20.844444444444445
2020-07-08,-29.681818181818183,-17.431372549019606,-31.025862068965516,-52.87931034482759,-36.108695652173914,21.17391304347826
2020-07-09,-29.984615384615385,-17.122448979591837,-30.93103448275862,-51.888888888888886,-35.971014492753625,21.733333333333334
2020-07-10,-32.656716417910445,-17.115384615384617,-32.08196721311475,-53.71186440677966,-34.31617647058823,24.044444444444444
2020-07-11,-36.04225352112676,-20.836363636363636,-35.048,-52.96363636363636,-11.036363636363637,16.714285714285715
2020-07-12,-46.225352112676056,-39.75,-43.3875968992248,-66.07692307692308,-10.323232323232324,15.827586206896552
2020-07-13,-27.921875,-16.7,-30.398230088495577,-51.473684210526315,-35.1764705882353,21.6
2020-07-14,-28.184615384615384,-16.18,-29.5982905982906,-51.981818181818184,-36.61594202898551,21.2
2020-07-15,-28.861538461538462,-15.89795918367347,-30.46086956521739,-52.160714285714285,-35.58695652173913,21.5
2020-07-16,-27.6,-14.16326530612245,-29.482758620689655,-52.107142857142854,-35.166666666666664,21.68888888888889
2020-07-17,-30.313432835820894,-14.442307692307692,-29.262295081967213,-53.5,-33.518248175182485,24.0
2020-07-18,-34.76056338028169,-18.574074074074073,-33.65079365079365,-53.827586206896555,-10.467289719626168,16.485714285714284
2020-07-19,-44.3013698630137,-36.67307692307692,-41.346456692913385,-64.62745098039215,-10.181818181818182,15.655172413793103
2020-07-20,-25.734375,-13.596153846153847,-27.333333333333332,-50.03333333333333,-33.904411764705884,21.217391304347824
2020-07-21,-26.671875,-13.96,-27.75221238938053,-49.96491228070175,-35.518248175182485,21.065217391304348
2020-07-22,-29.21875,-17.372549019607842,-30.756521739130434,-51.07017543859649,-35.42028985507246,21.622222222222224
2020-07-23,-28.384615384615383,-15.42,-29.017241379310345,-49.81481481481482,-35.35766423357664,21.652173913043477
2020-07-24,-30.432835820895523,-14.211538461538462,-28.442622950819672,-51.76271186440678,-33.625,24.695652173913043
2020-07-25,-34.888888888888886,-18.98148148148148,-32.388888888888886,-51.714285714285715,-11.522522522522523,17.085714285714285
2020-07-26,-44.666666666666664,-37.28846153846154,-40.06299212598425,-63.833333333333336,-10.73469387755102,15.724137931034482
2020-07-27,-24.822580645161292,-13.52,-25.116071428571427,-48.67796610169491,-34.77777777777778,21.456521739130434
2020-07-28,-26.421875,-13.78,-25.526315789473685,-48.24561403508772,-35.38970588235294,20.891304347826086
2020-07-29,-27.96875,-16.56,-29.726495726495727,-49.50909090909091,-36.52173913043478,21.565217391304348
2020-07-30,-28.123076923076923,-14.08,-29.71794871794872,-50.05357142857143,-36.22463768115942,21.934782608695652
2020-07-31,-31.676470588235293,-15.11320754716981,-30.371900826446282,-52.389830508474574,-34.78102189781022,24.511111111111113
2020-08-01,-32.94444444444444,-14.169811320754716,-31.747967479674795,-51.81818181818182,-11.880733944954128,16.571428571428573
2020-08-02,-40.945205479452056,-32.15384615384615,-36.75590551181102,-62.98076923076923,-11.181818181818182,15.10344827586207
2020-08-03,-22.875,-9.823529411764707,-24.428571428571427,-47.40350877192982,-34.63235294117647,20.76086956521739
2020-08-04,-22.78125,-8.16326530612245,-23.071428571428573,-45.96296296296296,-35.833333333333336,20.434782608695652
2020-08-05,-24.953125,-11.6,-27.07894736842105,-46.472727272727276,-35.7536231884058,20.608695652173914
2020-08-06,-25.46153846153846,-11.823529411764707,-26.5,-46.054545454545455,-35.78260869565217,20.630434782608695
2020-08-07,-28.970149253731343,-13.156862745098039,-27.825,-49.46551724137931,-34.46715328467153,23.02173913043478
2020-08-08,-29.458333333333332,-13.203703703703704,-27.669421487603305,-47.236363636363635,-11.558558558558559,15.057142857142857
2020-08-09,-31.63888888888889,-26.352941176470587,-25.952,-57.092592592592595,-8.474226804123711,12.6
2020-08-10,-24.60655737704918,-13.14,-23.036363636363635,-51.660714285714285,-46.79710144927536,22.11904761904762
2020-08-11,-24.206349206349206,-11.224489795918368,-22.991150442477878,-45.70909090909091,-34.613138686131386,19.565217391304348
2020-08-12,-25.41269841269841,-12.84,-25.5929203539823,-45.763636363636365,-34.80434782608695,20.434782608695652
2020-08-13,-26.90625,-13.647058823529411,-26.275862068965516,-46.82142857142857,-35.05797101449275,20.630434782608695
2020-08-14,-27.47761194029851,-11.803921568627452,-25.266666666666666,-48.01724137931034,-32.59124087591241,22.73913043478261
2020-08-15,-30.80821917808219,-12.547169811320755,-27.479674796747968,-45.857142857142854,-9.65137614678899,15.657142857142857
2020-08-16,-36.666666666666664,-28.173076923076923,-30.921259842519685,-59.03846153846154,-7.292929292929293,13.966666666666667
2020-08-17,-25.157894736842106,-10.714285714285714,-31.285714285714285,-44.15384615384615,-37.80487804878049,19.52173913043478
2020-08-18,-26.473684210526315,-10.923076923076923,-32.80952380952381,-44.0,-36.30952380952381,18.851063829787233
2020-08-19,-29.36842105263158,-14.357142857142858,-34.0,-45.9,-36.476190476190474,19.304347826086957
2020-08-20,-29.210526315789473,-13.571428571428571,-33.57142857142857,-46.45454545454545,-37.07142857142857,19.608695652173914
2020-08-21,-33.13636363636363,-17.125,-37.77272727272727,-49.23076923076923,-35.73809523809524,22.82608695652174
2020-08-22,-34.08695652173913,-17.833333333333332,-37.32142857142857,-46.27272727272727,-10.0,14.714285714285714
2020-08-23,-43.23809523809524,-35.294117647058826,-42.30769230769231,-60.45454545454545,-6.4,13.161290322580646
2020-08-24,-25.526315789473685,-12.071428571428571,-29.761904761904763,-43.75,-35.75609756097561,18.717391304347824
2020-08-25,-26.36842105263158,-12.307692307692308,-30.38095238095238,-42.55555555555556,-36.023809523809526,18.608695652173914
2020-08-26,-28.789473684210527,-13.928571428571429,-31.476190476190474,-44.0,-34.80487804878049,18.604166666666668
2020-08-27,-28.473684210526315,-12.857142857142858,-32.42857142857143,-44.5,-35.0,18.4468085106383
2020-08-28,-30.857142857142858,-14.733333333333333,-35.72727272727273,-45.76923076923077,-33.725,20.869565217391305
2020-08-29,-32.91304347826087,-18.157894736842106,-36.214285714285715,-43.54545454545455,-9.2,13.657142857142857
2020-08-30,-39.04761904761905,-32.0,-39.6,-54.2,-6.533333333333333,11.35483870967742
2020-08-31,-23.526315789473685,-9.214285714285714,-29.142857142857142,-41.166666666666664,-34.75609756097561,17.020833333333332
2020-09-01,-22.894736842105264,-6.615384615384615,-29.857142857142858,-41.0,-35.69047619047619,17.67391304347826
2020-09-02,-24.473684210526315,-8.714285714285714,-29.904761904761905,-42.4,-35.19512195121951,17.630434782608695
2020-09-03,-25.0,-8.307692307692308,-30.904761904761905,-40.7,-35.57142857142857,18.195652173913043
2020-09-04,-26.0,-8.571428571428571,-31.40909090909091,-42.23076923076923,-33.2,19.97826086956522
2020-09-05,-26.391304347826086,-8.647058823529411,-32.333333333333336,-38.72727272727273,-9.44,12.628571428571428
2020-09-06,-35.38095238095238,-27.5625,-35.12,-49.0,-6.266666666666667,10.806451612903226
2020-09-07,-21.833333333333332,-8.285714285714286,-27.666666666666668,-39.25,-35.390243902439025,17.630434782608695
2020-09-08,-22.0,-8.416666666666666,-27.666666666666668,-39.44444444444444,-35.5,17.23913043478261
2020-09-09,-25.842105263157894,-10.785714285714286,-29.61904761904762,-40.333333333333336,-34.30952380952381,17.304347826086957
2020-09-10,-24.473684210526315,-8.384615384615385,-28.38095238095238,-39.7,-35.023809523809526,17.652173913043477
2020-09-11,-17.181818181818183,-4.72,-16.93103448275862,-35.771929824561404,-30.386861313868614,19.17391304347826
2020-09-12,-18.38235294117647,-5.673469387755102,-15.834710743801653,-31.09433962264151,-7.018691588785047,11.685714285714285
2020-09-13,-21.971014492753625,-19.510204081632654,-18.951612903225808,-39.25,-4.474226804123711,9.5625
2020-09-14,-13.03225806451613,-5.8125,-15.11214953271028,-31.649122807017545,-28.352941176470587,17.083333333333332
2020-09-15,-11.903225806451612,-1.5625,-14.495327102803738,-29.6,-29.080882352941178,17.652173913043477
2020-09-16,-15.09375,-5.551020408163265,-17.938053097345133,-31.0,-30.594202898550726,17.893617021276597
2020-09-17,-16.28125,-7.673469387755102,-19.8,-33.69090909090909,-31.181159420289855,18.52173913043478
2020-09-18,-17.303030303030305,-5.48,-18.491525423728813,-34.63793103448276,-28.102941176470587,20.195652173913043
2020-09-19,-17.18840579710145,-4.06,-16.025,-30.88888888888889,-6.093457943925234,12.057142857142857
2020-09-20,-19.67142857142857,-17.122448979591837,-16.943089430894307,-35.7037037037037,-2.4270833333333335,9.375
2020-09-21,-14.983870967741936,-4.73469387755102,-17.61111111111111,-30.375,-30.125925925925927,18.108695652173914
2020-09-22,-18.206349206349206,-4.395833333333333,-20.44144144144144,-27.9811320754717,-32.04347826086956,17.404255319148938
2020-09-23,-22.476923076923075,-7.729166666666667,-26.97345132743363,-30.87272727272727,-32.22463768115942,17.420289855072465
2020-09-24,-22.765625,-7.75,-25.973684210526315,-31.472727272727273,-32.35507246376812,18.147058823529413
2020-09-25,-22.46969696969697,-5.1,-23.6,-31.862068965517242,-28.91176470588235,19.17910447761194
2020-09-26,-22.057971014492754,-4.28,-19.03305785123967,-27.442307692307693,-6.407407407407407,12.019607843137255
